TSNE1,TSNE2,File,Path,Dataset
25.259378,11.922157,S01R02E0.test.csv@1.out,data/raw/Daphnet/S01R02E0.test.csv@1.out,0.0
10.057662,-0.23865508,S01R02E0.test.csv@4.out,data/raw/Daphnet/S01R02E0.test.csv@4.out,0.0
29.85359,-2.8553731,S01R02E0.test.csv@6.out,data/raw/Daphnet/S01R02E0.test.csv@6.out,0.0
17.424347,14.931885,S02R01E0.test.csv@3.out,data/raw/Daphnet/S02R01E0.test.csv@3.out,0.0
19.279589,14.625178,S02R01E0.test.csv@4.out,data/raw/Daphnet/S02R01E0.test.csv@4.out,0.0
19.593603,14.317375,S02R01E0.test.csv@6.out,data/raw/Daphnet/S02R01E0.test.csv@6.out,0.0
20.873447,16.34271,S03R01E0.test.csv@3.out,data/raw/Daphnet/S03R01E0.test.csv@3.out,0.0
-16.669724,7.017683,S03R01E0.test.csv@4.out,data/raw/Daphnet/S03R01E0.test.csv@4.out,0.0
19.01902,14.856445,S03R01E0.test.csv@6.out,data/raw/Daphnet/S03R01E0.test.csv@6.out,0.0
21.420677,5.622783,S03R01E0.test.csv@8.out,data/raw/Daphnet/S03R01E0.test.csv@8.out,0.0
23.872543,18.527872,S03R01E1.test.csv@1.out,data/raw/Daphnet/S03R01E1.test.csv@1.out,0.0
16.636234,11.877978,S03R01E1.test.csv@2.out,data/raw/Daphnet/S03R01E1.test.csv@2.out,0.0
13.164126,5.7027826,S03R01E1.test.csv@4.out,data/raw/Daphnet/S03R01E1.test.csv@4.out,0.0
20.120998,15.899759,S03R01E1.test.csv@7.out,data/raw/Daphnet/S03R01E1.test.csv@7.out,0.0
21.377327,5.611772,S03R01E1.test.csv@8.out,data/raw/Daphnet/S03R01E1.test.csv@8.out,0.0
23.281656,18.560053,S03R02E0.test.csv@1.out,data/raw/Daphnet/S03R02E0.test.csv@1.out,0.0
13.231958,13.942761,S03R02E0.test.csv@2.out,data/raw/Daphnet/S03R02E0.test.csv@2.out,0.0
24.539373,19.074472,S03R02E0.test.csv@3.out,data/raw/Daphnet/S03R02E0.test.csv@3.out,0.0
13.351509,5.511512,S03R02E0.test.csv@4.out,data/raw/Daphnet/S03R02E0.test.csv@4.out,0.0
13.332297,11.459351,S03R02E0.test.csv@6.out,data/raw/Daphnet/S03R02E0.test.csv@6.out,0.0
-23.432848,5.316378,S03R02E0.test.csv@7.out,data/raw/Daphnet/S03R02E0.test.csv@7.out,0.0
9.880726,7.7129507,S03R02E0.test.csv@8.out,data/raw/Daphnet/S03R02E0.test.csv@8.out,0.0
-23.18033,10.633322,S03R02E0.test.csv@9.out,data/raw/Daphnet/S03R02E0.test.csv@9.out,0.0
-2.7173564,-0.65314204,S06R01E2.test.csv@5.out,data/raw/Daphnet/S06R01E2.test.csv@5.out,0.0
8.065104,7.109166,S08R01E0.test.csv@4.out,data/raw/Daphnet/S08R01E0.test.csv@4.out,0.0
12.759863,-0.65096813,S09R01E0.test.csv@1.out,data/raw/Daphnet/S09R01E0.test.csv@1.out,0.0
9.841436,-2.369479,S09R01E0.test.csv@2.out,data/raw/Daphnet/S09R01E0.test.csv@2.out,0.0
12.111871,-2.5463707,S09R01E0.test.csv@4.out,data/raw/Daphnet/S09R01E0.test.csv@4.out,0.0
8.349357,13.1479,S09R01E0.test.csv@5.out,data/raw/Daphnet/S09R01E0.test.csv@5.out,0.0
12.923631,-2.4496644,S09R01E0.test.csv@6.out,data/raw/Daphnet/S09R01E0.test.csv@6.out,0.0
11.027337,-1.7932413,S09R01E0.test.csv@7.out,data/raw/Daphnet/S09R01E0.test.csv@7.out,0.0
13.039909,-1.9431103,S09R01E0.test.csv@8.out,data/raw/Daphnet/S09R01E0.test.csv@8.out,0.0
13.879598,-1.4388654,S09R01E0.test.csv@9.out,data/raw/Daphnet/S09R01E0.test.csv@9.out,0.0
9.927133,17.70896,S09R01E2.test.csv@4.out,data/raw/Daphnet/S09R01E2.test.csv@4.out,0.0
14.351994,12.40193,S09R01E2.test.csv@8.out,data/raw/Daphnet/S09R01E2.test.csv@8.out,0.0
22.241455,17.995762,S09R01E4.test.csv@1.out,data/raw/Daphnet/S09R01E4.test.csv@1.out,0.0
22.760632,20.428411,S09R01E4.test.csv@2.out,data/raw/Daphnet/S09R01E4.test.csv@2.out,0.0
23.725634,7.4345737,S09R01E4.test.csv@3.out,data/raw/Daphnet/S09R01E4.test.csv@3.out,0.0
11.662954,6.2649283,S09R01E4.test.csv@4.out,data/raw/Daphnet/S09R01E4.test.csv@4.out,0.0
-4.0287657,18.099169,S09R01E4.test.csv@6.out,data/raw/Daphnet/S09R01E4.test.csv@6.out,0.0
-21.638193,-9.448846,101-freeway-traffic.test.out,data/raw/Dodgers/101-freeway-traffic.test.out,1.0
-17.204193,-9.085938,genesis-anomalies.test.csv@1.out,data/raw/Genesis/genesis-anomalies.test.csv@1.out,2.0
-14.3051195,16.219967,genesis-anomalies.test.csv@13.out,data/raw/Genesis/genesis-anomalies.test.csv@13.out,2.0
