Path,Dataset,File,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr,DN_Mean,DN_Spread_Std
data/raw/Daphnet/S01R02E0.test.csv@1.out,Daphnet,S01R02E0.test.csv@1.out,0.32469055294807525,-0.4664903806654417,1.4865589369520082,4,0.07817174828306085,4.186833448736924,0.6962394527587763,2328.0,0.0040519163898732535,69,0.05440641653107945,3.0,0.125,-0.09638888888888886,-0.03281250000000002,0.47430236582329494,16.0,1.9305498157789756,0.5,0.7,0.6843471789955268,1.03160033140196,-292.8694791666667,621.7288348360125
data/raw/Daphnet/S01R02E0.test.csv@4.out,Daphnet,S01R02E0.test.csv@4.out,0.6730808793463927,-0.07178542366747998,2.8661733675161085,9,0.10700884145260926,-0.10271257892374033,0.742247994722039,1912.0,0.0030864197530864196,12,0.10430676890176063,8.0,0.0012547051442910915,0.28756944444444443,-0.0292013888888889,0.7216311324057284,12.0,1.7494846694686013,0.12,0.26,0.3257791698272345,0.8349810946815055,-12.112569444444444,463.7073775554691
data/raw/Daphnet/S01R02E0.test.csv@6.out,Daphnet,S01R02E0.test.csv@6.out,1.2583252615583707,0.576016247266459,2.131220280056888,5,0.14203358393952484,0.06378770839190537,0.7675960970867044,863.0,0.008912892298152026,30,0.08227336312561244,3.0,0.5,0.07430555555555562,-0.028750000000000053,0.6404133123623273,14.0,1.7794328475533163,0.12,0.3,0.48531317176735167,0.9569983772301232,53.619791666666664,276.780748963115
data/raw/Daphnet/S02R01E0.test.csv@3.out,Daphnet,S02R01E0.test.csv@3.out,-0.8511043825870805,0.38387808334516205,1.4040549933240127,6,0.012850501471899693,-0.19932598985848324,0.699871088714403,2284.0,0.005892329928862665,7,0.04854421249185495,5.0,0.07692307692307693,-0.34976562499999997,0.03757812500000002,0.46598077090029866,14.0,1.8913087590828164,0.36,0.64,0.6925923257304126,1.0140202875750783,261.501484375,394.7829329155428
data/raw/Daphnet/S02R01E0.test.csv@4.out,Daphnet,S02R01E0.test.csv@4.out,0.2523050476252666,-0.2776598914680104,2.0598279141386513,4,0.10158842280300207,-0.3265440292585672,0.6251806711199657,2426.0,0.00997852545525639,23,0.0980228288342241,3.0,0.2222222222222222,-0.32917968750000004,-0.08730468749999998,0.6141108182135165,10.0,1.6669204464243579,0.28,0.28,0.42107772627463624,0.934956640679487,91.6604296875,698.9141595550101
data/raw/Daphnet/S02R01E0.test.csv@6.out,Daphnet,S02R01E0.test.csv@6.out,0.2942927639612716,-0.46209730630371926,1.769731291033235,5,0.02576650390821947,-0.04968379292600313,0.7189343333723973,2415.0,0.015000000000000003,6,0.06723729040195517,4.0,0.0008183306055646482,-0.35406249999999995,-0.17070312499999996,0.5325608656190166,12.0,1.8305067580785859,0.28,0.2,0.5570267736010102,0.970073309284495,131.1637890625,276.3785620913326
data/raw/Daphnet/S03R01E0.test.csv@3.out,Daphnet,S03R01E0.test.csv@3.out,-0.09637193178898862,1.9795727031397519,2.1635810839540124,4,0.005011282411690007,0.38195317469239226,0.7715074765166519,13609.0,0.027210884353741492,5,0.03453345794987586,3.0,0.00013709898546750753,0.04941860465116288,-0.4337572674418605,0.5598661899202656,13.0,1.7539479046806037,0.62,0.46,0.4770680250324658,0.9225649512831342,360.50332485465117,197.187339735605
data/raw/Daphnet/S03R01E0.test.csv@4.out,Daphnet,S03R01E0.test.csv@4.out,0.3724599336599126,-0.4668635020708769,2466.960952541857,8,0.03509444455885783,-0.2509409771677462,0.31933719726012466,3272.0,0.04081632653061224,15,0.05861139042027693,7.0,0.00013197835554968986,-0.4302507267441861,0.05757630813953485,0.8403702773105356,17.0,1.5663426762525638,0.62,0.42,0.0007669903939428711,0.6240190824105272,-506.77639898255813,506.8367948401308
data/raw/Daphnet/S03R01E0.test.csv@6.out,Daphnet,S03R01E0.test.csv@6.out,-1.101090841197947,0.08797818672376767,1.9110954361807546,6,0.05339907877320238,-1.1174430255447736,0.8041025454677593,3268.0,0.026743347774138525,14,0.048966657111994355,2.0,0.25,-0.4197492732558139,-0.4291969476744186,0.5835843928419002,13.0,1.7648185764743458,0.64,0.44,0.5319078381993811,1.0013751234921922,85.60370639534884,201.71242742670378
data/raw/Daphnet/S03R01E0.test.csv@8.out,Daphnet,S03R01E0.test.csv@8.out,-2.061182569355948,-0.47319530603824767,1.9228254182340399,8,0.04799709115538586,0.6876605851256236,0.7809189847199258,857.0,0.021166942856395834,15,0.04329702981206169,3.0,0.5,-0.43495639534883723,-0.43695494186046513,0.6261047061957891,14.0,1.8258170066357542,0.64,0.46,0.46019423636572265,0.9833231532755756,978.2153524709303,98.30053653822658
data/raw/Daphnet/S03R01E1.test.csv@1.out,Daphnet,S03R01E1.test.csv@1.out,-3.453451728453718,-0.9232283704797988,0.9666875068715117,3,0.008746702846580558,-5.913268096728568,0.3700438070258657,1330.0,0.048349434351637646,13,0.01398003291440745,4.0,0.3333333333333333,-0.5810825892857143,-0.5981863839285715,0.34572328591101187,13.0,1.5701243008189163,0.62,0.46,0.9363993972050028,1.1142117771149531,97.04690290178571,599.8482288991834
data/raw/Daphnet/S03R01E1.test.csv@2.out,Daphnet,S03R01E1.test.csv@2.out,6.059758795184313,2.531813313064009,1.675863587089424,7,0.05087228052151377,-0.358147223466465,0.5199642847177656,740.0,0.02329530588062613,13,0.015526759754226871,2.0,0.25,-0.5847377232142856,-0.587109375,0.55894240912733,12.0,1.7723039677279588,0.66,0.44,0.5423580823168528,1.0170417818363542,978.7366071428571,389.84445960695837
data/raw/Daphnet/S03R01E1.test.csv@4.out,Daphnet,S03R01E1.test.csv@4.out,0.13539855343962515,-0.6305585631623014,4.76546435427077,7,0.05683534091963366,-0.3479225894477019,0.43502887915399424,1215.0,0.047619047619047616,13,0.059959371035181855,6.0,0.000214638334406525,-0.5803292410714286,-0.045368303571428625,0.8433822924614154,15.0,1.622175672472982,0.54,0.4,0.17103885784926026,0.6743546689235297,-462.74991629464284,563.151631665269
data/raw/Daphnet/S03R01E1.test.csv@7.out,Daphnet,S03R01E1.test.csv@7.out,-0.1950369661236424,0.8356960250046495,3.647303007231999,7,0.02882912017934526,0.1079294790247908,0.706632439521192,6004.0,0.07482993197278912,13,0.12320701042110065,6.0,0.0006198347107438017,-0.3490513392857143,-0.4973214285714286,0.8770029020093143,12.0,1.6820071835370616,0.6,0.4,0.31264445933096285,0.7094890387318485,-52.55184151785714,227.89607203982746
data/raw/Daphnet/S03R01E1.test.csv@8.out,Daphnet,S03R01E1.test.csv@8.out,-2.4734121750818976,-1.2939199183923753,1.932081107003294,8,0.15141145533468867,0.3899585743292547,0.8112949580066409,514.0,0.013978489224783997,15,0.05847097315229199,2.0,0.5,-0.5623046875,-0.5592633928571429,0.6330899820227305,11.0,1.803197674344018,0.62,0.42,0.4817658411953659,0.9896084075790369,968.9476841517857,111.40386827871177
data/raw/Daphnet/S03R02E0.test.csv@1.out,Daphnet,S03R02E0.test.csv@1.out,0.6912492956608824,-0.5480693118172457,1.3868139449950259,5,0.011501929659471583,-4.554535999475947,0.44936594747280484,641.0,0.07407407407407407,15,0.032213949885724714,4.0,0.00022251891410769915,-0.3512620192307693,-0.38185096153846154,0.4761106073922565,12.0,1.7349503326149298,0.62,0.48,0.6935510637228413,1.0029608309660927,-187.06604567307693,409.4992175036448
data/raw/Daphnet/S03R02E0.test.csv@2.out,Daphnet,S03R02E0.test.csv@2.out,2.89296803382501,1.2682785233791414,2.068169953175183,7,0.09825931789735451,0.9884631655608994,0.47142256145201034,1301.0,0.02284376371060862,13,0.025470254082086974,3.0,0.25,-0.35624999999999996,-0.31490384615384615,0.6351684465650028,13.0,1.7615560621570099,0.12,0.74,0.5021869604340948,0.9765798329685648,934.1364783653846,294.42548679268873
